part_code,part_name,qty_sales_oct_2025,qty_sales_nov_2025,qty_sales_dec_2025,current_stock,is_fast_moving
31926-KYT-901,Busi U27EPR-9 DENSO,172,137,97,24,TRUE
31917-K0R-V01,BUSI LMAR8L-9 NGK,24,36,19,7,TRUE
33110-K81-N01,UNIT HEAD LIGHT,1,0,1,0,FALSE
23100-KZR-601,BAN PENGGERAK,129,104,73,80,TRUE
23100-K97-T01,BAN PENGGERAK,40,39,21,21,TRUE
23100-KZL-601,BAN PENGGERAK,62,45,11,90,TRUE
23100-K1A-N23,BAN PENGGERAK,128,58,93,300,TRUE
33100-K2F-N01,UNIT HEAD LIGHT,0,1,0,0,FALSE
23100-K1A-BA0,BAN PENGGERAK SET,48,21,63,92,TRUE
23100-K0J-BA0,BAN PENGGERAK SET,204,96,62,24,TRUE
06455-KVB-T01,KAMPAS REM CAKRAM DPN,150,56,87,84,TRUE
43130-KZL-930,KAMPAS REM TROMOL NA,60,73,54,32,TRUE
06435-KRE-G32,PAD SET,21,17,11,43,TRUE
43125-KPH-903,KAMPAS REM TROMOL NA,31,24,12,47,TRUE
06455-KWB-601,KAMPAS REM CAKRAM DPN,24,21,29,60,TRUE
06455-KPP-N01,KAMPAS REM CAKRAM DPN,12,11,6,21,TRUE
22201-166-001,PLAT KOPLING,14,25,94,124,TRUE
22201-107-001,PLAT KOPLING,7,16,56,39,TRUE
22535-K44-V00,WEIGHT SET CLUTH,19,24,126,1,TRUE
22535-K1AN10,WEIGHT SET CLUTH,64,17,35,320,TRUE
08CLAH50500,Honda M/C Genuine Coolant,120,140,80,24,TRUE
22535-KVY-900,WEIGHT SET CLUTH,32,19,9,83,TRUE
22535-KZL-A00,WEIGHT SET CLUTH,9,67,28,184,TRUE
22530-KPH-900,WEIGHT SET CLUTH,2,2,4,0,TRUE
31927-KPH-901,BUSI U22EPR9 DENSO,16,13,9,23,TRUE
30700-KPH-881,CAP ASSY NOISE SUPPRESSOR,5,17,39,120,TRUE
30700-KZL-931,CAP ASSY NOISE SUPPRESSOR,12,8,26,57,TRUE
5050AK25900,STAND ASSY MAIN,2,1,1,0,FALSE
30700-K25-600,CAP ASSY NOISE SUPPRESSOR,16,24,29,14,TRUE
30700-KZR-602,CAP ASSY NOISE SUPPRESSOR,15,19,24,29,TRUE
50500K2FN00,STAND ASSY MAIN,1,3,0,1,FALSE
22105-K44-V00,BOSS DRIVE FACE,209,167,195,96,TRUE
22105-K0J-N00,BOSS DRIVE FACE,56,139,12,10,TRUE
50530K97T00,BAR COMP SIDE STAND,0,1,2,0,FALSE
22105-KVB-900,BOSS DRIVE FACE,32,21,26,9,TRUE
22105-K0R-V00,BOSS DRIVE FACE,20,15,17,5,TRUE
22110-KVY-900,FACE COMP MOVABLE DRIVE,30,29,93,141,TRUE
22110-K1Z-N20,FACE COMP MOVABLE DRIVE,25,36,49,67,TRUE
22110-GFM-960,FACE COMP MOVABLE DRIVE,20,16,9,6,TRUE
50530K25900,BAR COMP SIDE STAND,4,5,3,2,FALSE
17211-KYE-900,SARINGAN UDARA,10,7,1,0,TRUE
17210-KZR-600,SARINGAN UDARA,100,74,4,2,TRUE
17210-K16-900,SARINGAN UDARA,70,23,9,8,TRUE
9501472102,Spring A Side Stand,40,60,30,20,FALSE
17210-K97-N00,SARINGAN UDARA,50,34,89,56,TRUE
16700-KZR-C02,UNIT ASSY FUEL PUMP,4,2,0,0,TRUE
16700-K25-901,UNIT ASSY FUEL PUMP,6,0,0,0,TRUE
08294M99Z8YN1,OLI GARDAN,300,96,27,31,TRUE
082322MBK3LN9,OLI MPX 2 0.65L,500,406,379,1209,TRUE
08232M99K0LN5,OLI MPX 2 0.8L,450,317,259,963,TRUE
